/	mainapp.views.IndexList	index
/admin/social_django/nonce/add/	django.contrib.admin.options.add_view	admin:social_django_nonce_add
/admin/social_django/usersocialauth/	django.contrib.admin.options.changelist_view	admin:social_django_usersocialauth_changelist
/admin/social_django/usersocialauth/<path:object_id>/	django.views.generic.base.RedirectView
/admin/social_django/usersocialauth/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:social_django_usersocialauth_change
/admin/social_django/usersocialauth/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:social_django_usersocialauth_delete
/admin/social_django/usersocialauth/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:social_django_usersocialauth_history
/admin/social_django/usersocialauth/add/	django.contrib.admin.options.add_view	admin:social_django_usersocialauth_add
/admin/users/user/	django.contrib.admin.options.changelist_view	admin:users_user_changelist
/admin/users/user/<path:object_id>/	django.views.generic.base.RedirectView
/admin/users/user/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:users_user_change
/admin/users/user/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:users_user_delete
/admin/users/user/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:users_user_history
/admin/users/user/add/	django.contrib.admin.options.add_view	admin:users_user_add
/admins/	admins.views.index	admins:index
/admins/category-create/	admins.views.CategoryCreateView	admins:admins_category_create
/admins/category-delete/<int:pk>/	admins.views.CategoryDeleteView	admins:admins_category_delete
/admins/category-update/<int:pk>/	admins.views.CategoryUpdateView	admins:admins_category_update
/admins/category/	admins.views.CategoryListView	admins:admins_category
/admins/order-delete/<int:pk>/	admins.views.OrderDeleteView	admins:admins_order_delete
/admins/order-update/<int:pk>/	admins.views.OrderUpdateView	admins:admins_order_update
/admins/order/	admins.views.OrderListView	admins:admins_order
/admins/product-create/	admins.views.ProductCreateView	admins:admins_product_create
/admins/product-delete/<int:pk>/	admins.views.ProductDeleteView	admins:admins_product_delete
/admins/product-update/<int:pk>/	admins.views.ProductUpdateView	admins:admins_product_update
/admins/product/	admins.views.ProductListView	admins:admins_product
/admins/users-create/	admins.views.UserCreateView	admins:admins_user_create
/admins/users-delete/<int:pk>/	admins.views.UserDeleteView	admins:admins_user_delete
/admins/users-update/<int:pk>/	admins.views.UserUpdateView	admins:admins_user_update
/admins/users/	admins.views.UserListView	admins:admins_user
/baskets/add/<int:product_id>/	baskets.views.BasketAdd	baskets:basket
/baskets/edit/<int:id>/<int:quantity>/	baskets.views.BasketEdit	baskets:basket_edit
/baskets/remove/<int:pk>/	baskets.views.RemoveBasket	baskets:basket_remove
/complete/<str:backend>/	social_django.views.complete	social:complete
/disconnect/<str:backend>/	social_django.views.disconnect	social:disconnect
/disconnect/<str:backend>/<int:association_id>/	social_django.views.disconnect	social:disconnect_individual
/login/<str:backend>/	social_django.views.auth	social:begin
/media/<path>	django.views.static.serve
/orders/	ordersapp.views.OrderList	orders:list
/orders/create/	ordersapp.views.OrderCreate	orders:create
/orders/delete/<int:pk>/	ordersapp.views.OrderDelete	orders:delete
/orders/forming_complete/<int:pk>/	ordersapp.views.order_forming_complete	orders:forming_complete
/orders/payment/result/	ordersapp.views.payment_result	orders:payment_result
/orders/read/<int:pk>/	ordersapp.views.OrderDetail	orders:read
/orders/reform/<int:pk>/	ordersapp.views.update_price	orders:update_price
/orders/update/<int:pk>/	ordersapp.views.OrderUpdate	orders:update
/products/	mainapp.views.ProductList	mainapp:index
/products/category/<int:category_id>/	mainapp.views.ProductList	mainapp:category
/products/page/<int:page>/	mainapp.views.ProductList	mainapp:page
/users/login/	users.views.ListLoginView	users:login
/users/logout/	users.views.Logout	users:logout
/users/profile/	users.views.ProfileFormView	users:profile
/users/register/	users.views.RegisterFormView	users:register
/users/verify/<str:email>/<str:activation_key>/	users.views.verify	users:verify
